antibiotic,auc,auc_ci95_low,auc_ci95_high,auprc,f1,precision,sensitivity,specificity,accuracy,n_samples,resistance_rate
fosfomycin,0.815791,0.762724,0.868858,0.742408,0.640657,0.620937,0.690808,0.810949,0.778917,270,0.285185
cefepime,0.914316,0.905252,0.923380,0.941020,0.873717,0.853927,0.895299,0.753550,0.840571,1498,0.617490
piperacillin/tazobactam,0.957697,0.947820,0.967574,0.979358,0.933042,0.933486,0.932877,0.854455,0.908102,1736,0.687212
amikacin,0.952183,0.940519,0.963848,0.888580,0.820390,0.823518,0.817828,0.954067,0.925792,2167,0.206276
